,Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
77,24-07-2015,3.468,15779.0,11.72,23,618.0,346,48,21,2073.0
78,25-07-2015,2.7060000000000004,6174.0,4.59,3,677.0,231,13,4,1046.0
79,26-07-2015,3.09,11614.0,8.63,9,503.0,301,2,40,1573.0
80,27-07-2015,3.091,13460.0,10.0,13,822.0,190,29,64,1527.0
81,28-07-2015,2.98,10000.0,7.43,13,803.0,230,44,11,1370.0
82,29-07-2015,3.138,10680.0,7.94,16,634.0,322,21,4,1628.0
83,30-07-2015,3.2460000000000004,14105.0,10.48,20,718.0,225,60,44,1727.0
84,31-07-2015,2.654,9194.0,6.83,20,784.0,198,7,0,914.0
85,01-08-2015,3.4530000000000003,17497.0,13.02,11,1.092,219,54,45,1673.0
86,02-08-2015,2.6510000000000002,5765.0,4.28,8,544.0,245,6,6,1039.0
87,03-08-2015,3.42,15362.0,11.41,16,683.0,226,65,54,1883.0
88,04-08-2015,2.863,9870.0,7.33,20,793.0,186,28,32,1225.0
89,05-08-2015,3.326,14502.0,10.78,34,520.0,250,41,59,1838.0
90,06-08-2015,3.472,14652.0,10.89,26,562.0,350,42,20,2079.0
91,07-08-2015,2.8489999999999998,7628.0,5.67,11,638.0,283,11,8,1297.0
92,08-08-2015,3.168,13877.0,10.31,32,609.0,206,57,51,1638.0
93,09-08-2015,3.109,11433.0,8.49,15,561.0,236,40,35,1564.0
94,10-08-2015,3.139,13655.0,10.15,13,985.0,285,8,23,1617.0
95,11-08-2015,2.8569999999999998,13535.0,10.08,7,1.348,44,4,14,347.0
96,12-08-2015,2.055,1883.0,1.4,1,1.37,70,0,0,287.0
97,13-08-2015,3.218,11354.0,8.44,8,694.0,366,4,10,1718.0
98,14-08-2015,3.01,11532.0,8.57,4,572.0,301,26,10,1542.0
99,15-08-2015,2.813,6129.0,4.55,3,635.0,256,8,1,1159.0
