,Date,Calories,Steps,Distance,floors,Minutes_sitting,Minutes_of_slow_activity,Minutes_of_moderate_activity,Minutes_of_intense_activity,Calories_Activity
336,07-04-2016,3.048,13004.0,9.87,14,856.0,214,3,58,1472.0
337,08-04-2016,3.241,13441.0,10.04,2,449.0,439,0,0,1874.0
338,09-04-2016,3.0380000000000003,10216.0,7.59,0,535.0,390,0,0,1607.0
339,10-04-2016,2.3040000000000003,5634.0,4.19,0,921.0,92,41,4,659.0
340,11-04-2016,3.4189999999999996,17422.0,13.38,34,674.0,290,14,61,1928.0
341,12-04-2016,3.179,14475.0,10.92,14,664.0,291,10,47,1696.0
342,13-04-2016,3.427,17777.0,13.66,20,696.0,276,10,80,1967.0
343,14-04-2016,3.4789999999999996,19087.0,14.65,17,711.0,221,12,96,1954.0
344,15-04-2016,3.5010000000000003,16290.0,12.2,12,467.0,427,25,11,2166.0
345,16-04-2016,3.342,14252.0,10.64,6,675.0,323,60,18,1947.0
346,17-04-2016,2.7689999999999997,8262.0,6.14,3,1.089,302,0,0,1266.0
347,18-04-2016,3.486,19450.0,15.06,18,860.0,190,6,98,1926.0
348,19-04-2016,3.596,17232.0,13.61,17,1.002,262,4,88,2085.0
349,20-04-2016,3.321,16946.0,12.93,25,762.0,238,5,67,1795.0
350,21-04-2016,3.464,19183.0,14.67,24,723.0,218,7,97,1964.0
351,22-04-2016,3.3280000000000003,12963.0,9.66,10,404.0,436,14,10,2020.0
352,23-04-2016,2.612,6456.0,4.8,6,782.0,305,0,0,1135.0
353,24-04-2016,2.863,10413.0,7.73,6,700.0,269,28,24,1411.0
354,25-04-2016,3.175,10499.0,7.8,0,661.0,430,9,4,1805.0
355,26-04-2016,3.3569999999999998,17226.0,12.97,19,751.0,185,16,95,1798.0
356,27-04-2016,3.6310000000000002,19784.0,15.51,25,694.0,151,26,128,2070.0
357,28-04-2016,4.03,25571.0,19.3,15,606.0,293,42,129,2711.0
358,29-04-2016,3.4419999999999997,17528.0,13.36,15,594.0,239,8,82,1931.0
359,30-04-2016,3.0610000000000004,9831.0,7.3,1,561.0,414,0,0,1651.0
360,01-05-2016,3.3310000000000004,14262.0,10.6,5,666.0,361,21,41,1937.0
361,02-05-2016,2.989,13236.0,9.98,12,770.0,234,8,38,1477.0
362,03-05-2016,3.7960000000000003,18588.0,14.13,16,599.0,275,49,79,2360.0
363,04-05-2016,3.525,16382.000000000002,12.39,16,684.0,333,10,55,2075.0
364,05-05-2016,3.6489999999999996,21913.0,16.4,19,701.0,287,29,90,2249.0
365,06-05-2016,3.5389999999999997,19023.0,14.79,15,575.0,298,8,85,2112.0
366,07-05-2016,3.04,9526.0,7.08,2,564.0,370,13,10,1604.0
